Taskset,Algorithm,Number of Tasks,Utilization,Schedulable
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,0
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,1
tasksets-2/80-percent/4-tasks,edf,4,80%,0
tasksets-2/80-percent/4-tasks,rr,4,80%,2
tasksets-2/80-percent/4-tasks,dm,4,80%,3
tasksets-2/80-percent/4-tasks,edf,4,80%,2
